"nbPassengers0","nbPassengers1","bookingStatus0","bookingStatus1","operatingAirline0","operatingAirline1","originAirport0","originAirport1","departureDate0","departureDate1","arrivalDate0","arrivalDate1","destinationAirport0","destinationAirport1"
1,"","CONFIRMED","","AF","","LYS","","2019-05-13T11:15:00Z","","2019-05-13T12:20:00Z","","ORY",""
1,1,"CONFIRMED","CONFIRMED","AF","AF","TLN","CDG","2019-04-30T13:15:00Z","2019-04-20T11:00:00Z","2019-04-30T14:55:00Z","2019-04-20T12:40:00Z","CDG","TLN"
1,1,"CONFIRMED","CONFIRMED","DL","KL","LAX","AMS","2019-03-17T13:21:00Z","2019-03-18T12:30:00Z","2019-03-18T08:30:00Z","2019-03-18T13:50:00Z","AMS","DRS"
2,2,"CONFIRMED","CONFIRMED","AF","AF","CDG","MUC","2019-05-09T07:10:00Z","2019-05-13T20:35:00Z","2019-05-09T08:40:00Z","2019-05-13T22:15:00Z","MUC","CDG"
1,1,"CONFIRMED","CONFIRMED","9W","KL","AMS","AMS","2019-05-20T11:25:00Z","2019-06-04T13:50:00Z","2019-05-21T00:05:00Z","2019-06-04T16:25:00Z","BOM","MAD"
1,1,"CONFIRMED","CONFIRMED","AF","AF","CDG","CDG","2019-04-18T08:20:00Z","2019-04-22T17:40:00Z","2019-04-18T09:25:00Z","2019-04-23T12:45:00Z","LYS","HND"
4,"","CONFIRMED","","AF","","ORY","","2019-08-22T11:10:00Z","","2019-08-22T12:55:00Z","","BIA",""
2,2,"CONFIRMED","CONFIRMED","KL","KL","AMS","AMS","2019-03-17T17:10:00Z","2019-04-05T14:30:00Z","2019-03-18T02:55:00Z","2019-04-05T17:55:00Z","DXB","MEX"
2,2,"CONFIRMED","CONFIRMED","KL","KL","AMS","PTY","2019-03-18T11:25:00Z","2019-03-25T18:45:00Z","2019-03-18T16:30:00Z","2019-03-26T10:55:00Z","PTY","AMS"
1,1,"CONFIRMED","CONFIRMED","KL","KQ","NBO","NBO","2019-05-10T23:40:00Z","2019-03-19T12:40:00Z","2019-05-11T06:55:00Z","2019-03-19T14:10:00Z","AMS","FBM"
