"nbPassengers","operatingAirline","bookingStatus","originAirport","destinationAirport","departureDate","arrivalDate"
2,"cz","confirmed","pek","ams","2019-06-07T00:00:00Z","2019-06-07T00:00:00Z"
13,"kl","confirmed","iad","ams","2019-03-28T18:40:00Z","2019-03-29T07:10:00Z"
13,"kl","confirmed","ams","jfk","2019-03-18T13:30:00Z","2019-03-18T16:45:00Z"
1,"kl","confirmed","ams","bod","2019-03-28T10:05:00Z","2019-03-28T11:50:00Z"
1,"af","confirmed","bod","cdg","2019-03-26T10:15:00Z","2019-03-26T11:35:00Z"
1,"af","confirmed","tls","ory","2019-05-20T08:20:00Z","2019-05-20T09:40:00Z"
"","","","","","",""
1,"af","confirmed","cdg","lhr","2019-03-16T13:20:00Z","2019-03-16T13:45:00Z"
1,"af","confirmed","lhr","cdg","2019-03-17T15:35:00Z","2019-03-17T17:55:00Z"
1,"a5","confirmed","rns","nce","2019-04-20T07:00:00Z","2019-04-20T08:40:00Z"
"","","","","","",""
1,"af","confirmed","cdg","abj","2019-07-15T19:05:00Z","2019-07-15T23:20:00Z"
1,"af","confirmed","abj","cdg","2019-07-29T22:30:00Z","2019-07-30T06:55:00Z"
2,"af","confirmed","muc","cdg","2019-05-13T20:35:00Z","2019-05-13T22:15:00Z"
2,"af","confirmed","cdg","muc","2019-05-09T07:10:00Z","2019-05-09T08:40:00Z"
2,"kl","confirmed","ams","iah","2019-04-03T09:50:00Z","2019-04-03T13:05:00Z"
2,"dl","confirmed","iah","los","2019-03-17T19:56:00Z","2019-03-18T15:35:00Z"
4,"kl","confirmed","jfk","ams","2019-08-23T18:30:00Z","2019-08-24T07:50:00Z"
4,"dl","confirmed","den","jfk","2019-08-19T10:51:00Z","2019-08-19T17:00:00Z"
1,"kq","confirmed","jnb","nbo","2019-03-17T17:25:00Z","2019-03-17T22:30:00Z"
1,"kq","confirmed","nbo","dxb","2019-03-17T23:30:00Z","2019-03-18T05:45:00Z"
2,"af","confirmed","cdg","fco","2019-04-12T17:05:00Z","2019-04-12T19:10:00Z"
"","","","","","",""
3,"kq","confirmed","fna","nbo","2019-03-17T17:10:00Z","2019-03-18T05:35:00Z"
3,"kq","confirmed","nbo","bom","2019-03-18T07:00:00Z","2019-03-18T15:45:00Z"
2,"kl","confirmed","ams","las","2019-09-03T12:35:00Z","2019-09-03T14:15:00Z"
2,"af","confirmed","cdg","ams","2019-09-03T07:10:00Z","2019-09-03T08:30:00Z"
1,"9w","confirmed","ams","bom","2019-05-20T11:25:00Z","2019-05-21T00:05:00Z"
1,"kl","confirmed","ams","mad","2019-06-04T13:50:00Z","2019-06-04T16:25:00Z"
2,"af","confirmed","del","cdg","2019-03-18T02:05:00Z","2019-03-18T09:05:00Z"
2,"af","confirmed","cdg","jfk","2019-03-18T13:20:00Z","2019-03-18T16:55:00Z"
2,"me","confirmed","cdg","bey","2019-07-08T10:00:00Z","2019-07-08T15:15:00Z"
2,"af","confirmed","cdg","jfk","2019-07-20T08:00:00Z","2019-07-20T10:15:00Z"
2,"af","confirmed","hnd","cdg","2019-05-17T14:20:00Z","2019-05-17T19:45:00Z"
2,"af","confirmed","edi","cdg","2019-04-29T17:05:00Z","2019-04-29T20:00:00Z"
1,"af","confirmed","lys","ory","2019-05-13T11:15:00Z","2019-05-13T12:20:00Z"
"","","","","","",""
1,"af","confirmed","tln","cdg","2019-04-30T13:15:00Z","2019-04-30T14:55:00Z"
1,"af","confirmed","cdg","tln","2019-04-20T11:00:00Z","2019-04-20T12:40:00Z"
1,"dl","confirmed","lax","ams","2019-03-17T13:21:00Z","2019-03-18T08:30:00Z"
1,"kl","confirmed","ams","drs","2019-03-18T12:30:00Z","2019-03-18T13:50:00Z"
2,"af","confirmed","cdg","muc","2019-05-09T07:10:00Z","2019-05-09T08:40:00Z"
2,"af","confirmed","muc","cdg","2019-05-13T20:35:00Z","2019-05-13T22:15:00Z"
1,"9w","confirmed","ams","bom","2019-05-20T11:25:00Z","2019-05-21T00:05:00Z"
1,"kl","confirmed","ams","mad","2019-06-04T13:50:00Z","2019-06-04T16:25:00Z"
1,"af","confirmed","cdg","lys","2019-04-18T08:20:00Z","2019-04-18T09:25:00Z"
1,"af","confirmed","cdg","hnd","2019-04-22T17:40:00Z","2019-04-23T12:45:00Z"
4,"af","confirmed","ory","bia","2019-08-22T11:10:00Z","2019-08-22T12:55:00Z"
"","","","","","",""
2,"kl","confirmed","ams","dxb","2019-03-17T17:10:00Z","2019-03-18T02:55:00Z"
2,"kl","confirmed","ams","mex","2019-04-05T14:30:00Z","2019-04-05T17:55:00Z"
2,"kl","confirmed","ams","pty","2019-03-18T11:25:00Z","2019-03-18T16:30:00Z"
